country,iso_code,start_year,end_year,population_start,co2_start,co2_end,gdp_per_capita_start,gdp_per_capita_end,energy_intensity_start,energy_intensity_end,carbon_intensity_start,carbon_intensity_end,co2_pct,gdp_per_capita_pct,energy_intensity_pct,carbon_intensity_pct,score_decarbonization,score_prosperity,score_efficiency,score_clean,kaya_score
Netherlands,NLD,2000,2022,16058757.0,172.1538848876953,127.50314331054688,37599.61253402116,49128.039977668086,1.6674633774235935e-09,1.0846838291602023e-09,0.1709878404896297,0.1336373967194598,-0.2593652859258818,0.30661027246532635,-0.34950065839757566,-0.21843918060615072,88.28044049382346,36.96457022412057,78.50009405679653,74.06274008659295,69.94097853718472
Taiwan,TWN,2000,2022,22332873.0,226.9340057373047,273.98883056640625,26470.12426520314,53282.17710252135,1.7273105086002155e-09,1.0552485266826895e-09,0.2222432542108824,0.2080689461906791,0.20735025883944208,1.0129175280285543,-0.38908000534435133,-0.06377834985602567,49.38747843004649,100.0,84.15428647776449,51.96833569371795,69.63918474799634
Spain,ESP,2000,2022,41019772.0,309.259521484375,234.2234649658203,26694.412204412056,33978.56428851686,1.393013655019601e-09,9.79709832115843e-10,0.2027468434620298,0.1471099963812062,-0.24263135426970453,0.27287179160666747,-0.2966976105470714,-0.274415355281441,86.88594618914203,33.89743560060614,70.95680150672449,82.0593364687773,69.24633717543337
Slovenia,SVN,2000,2022,1986817.0,15.05975341796875,12.727840423583984,21682.312686070232,32802.729093418166,1.8214211569943475e-09,1.0175311327431151e-09,0.1919305083351532,0.1802765489582623,-0.15484403560037124,0.5128796253589788,-0.4413531824664795,-0.06071968171178134,79.57033630003093,55.716329578088974,91.62188320949708,51.531383101683055,69.0074057018517
Norway,NOR,2000,2022,4490864.0,42.13100051879883,40.83300018310547,54054.470994668285,88390.41290750103,2.402366053084274e-09,1.1062326991528075e-09,0.0722438805230346,0.0765282739474054,-0.030808675790032387,0.635210025757527,-0.539523671784917,0.0593045859850336,69.23405631583603,66.83727506886609,100.0,34.3850591449952,66.07580044821613
Israel,ISR,2000,2022,6111194.0,59.519378662109375,62.267303466796875,25961.601526477476,36989.70382592035,1.4331042630658623e-09,9.142184563431377e-10,0.2617719152311641,0.2022729717311037,0.046168573437021715,0.4247851307707513,-0.36207121846994167,-0.22729307476517643,62.819285546914855,47.70773916097738,80.29588835284882,75.32758210931092,65.6637936522163
Lebanon,LBN,2000,2022,4329345.0,15.466263771057127,15.360705375671388,5986.1192023273725,8484.94708566049,2.304280565236291e-09,1.3624804901328884e-09,0.2589897040690387,0.231302379141319,-0.006825074041687812,0.41743704040534063,-0.40871762289364544,-0.1069051182063173,67.23542283680732,47.03973094594006,86.95966041337795,58.129302600902484,63.85481732042842
Ukraine,UKR,2000,2022,49556654.0,285.6634826660156,143.0398712158203,5109.223689880273,7531.691929779719,6.261774875228458e-09,2.001447155885165e-09,0.1801774283457267,0.2311640569084712,-0.49927141586012297,0.47413626549520155,-0.6803706304097776,0.2829801103882486,100.0,52.19420595410923,100.0,2.431412801678769,63.656404688947
United States,USA,2000,2022,281484126.0,6023.15771484375,5055.40283203125,45996.97318433154,57075.33610930162,2.0503112471956047e-09,1.3600922536940706e-09,0.2268930947647136,0.1906799045704029,-0.16067234640519537,0.24084982463028304,-0.33664108044357105,-0.15960463773418704,80.05602886709961,30.986347693662093,76.66301149193873,65.65780539059816,63.5104492295827
New Zealand,NZL,2000,2022,3857576.0,32.221126556396484,31.965866088867188,27204.156926785112,39090.66162587244,2.18746541379147e-09,1.1600520372439826e-09,0.1403620696050095,0.1373637380032167,-0.007922145958569006,0.43693707292887723,-0.4696821124895876,-0.02136140917721117,67.3268454965474,48.812461175352475,95.66887321279822,45.908772739601595,63.01213677026239
France,FRA,2000,2022,59483716.0,407.4446411132813,295.3038024902344,34155.16326310212,40308.88784599797,1.5346487980282751e-09,8.632350860630081e-10,0.1306788035288822,0.1280482353573864,-0.2752296319731656,0.18016967260536348,-0.4375031686910405,-0.020130029510978725,89.60246933109711,25.469970236851225,91.07188124157723,45.73286135871124,62.89582494653519
Lithuania,LTU,2000,2022,3500410.0,11.843034744262695,12.895064353942873,10480.143544899029,30108.83074404235,2.139813029396864e-09,7.671555337708876e-10,0.1508693532977547,0.1981852029039802,0.0888310836198322,1.8729406820670065,-0.6414847824404916,0.31362134570062933,59.26407636501398,100.0,100.0,0.0,62.77922290950419
Turkmenistan,TKM,2000,2022,4582675.0,39.36149597167969,102.06282806396484,3993.128176665376,13485.517023533384,7.119320073054412e-09,4.8385282441883495e-09,0.3021348121679655,0.216339880421637,1.5929611043594052,2.3771811038620387,-0.32036652453631453,-0.28396241773898145,0.0,100.0,74.33807493375922,83.42320253414022,60.7234156202869
Australia,AUS,2000,2022,19132472.0,349.89764404296875,384.0784301757813,36171.97568719818,51305.37427437371,1.886051525951657e-09,1.2354755517274587e-09,0.2680674902452012,0.2312625182007749,0.09768795736336833,0.4183735695844635,-0.3449407215404325,-0.13729740973349966,58.52600355305263,47.12486996222395,77.84867450577607,62.471058533357095,60.52651809096626
Italy,ITA,2000,2022,57272200.0,469.5982666015625,340.1147155761719,32541.993280509567,35827.59694949132,1.1268027248669618e-09,8.218432586125847e-10,0.2236096694125236,0.193746241508103,-0.27573260004226724,0.10096504048354063,-0.270641399354428,-0.13355159453917637,89.6443833368556,18.26954913486733,67.23448562206116,61.935942077025196,60.39158492844204
South Africa,ZAF,2000,2022,47159715.0,378.33251953125,428.78216552734375,7550.344703419009,11599.51404295816,3.329053762368963e-09,1.860482126149479e-09,0.3191647446378253,0.3185202639361658,0.1333473687606879,0.536289334936665,-0.44113785509262693,-0.0020192728441571473,55.554385936609336,57.844484994242265,91.59112215608957,43.145610406308165,60.232064062338324
Egypt,EGY,2000,2022,73083287.0,142.83685302734375,249.8986663818359,6078.684938445639,12967.94546603334,1.2797593565112162e-09,7.601496303329656e-10,0.251237378758138,0.2251048707024426,0.749539149633862,1.133347195544787,-0.40602143171257726,-0.10401520739018992,4.205070863844834,100.0,86.5744902446539,57.716458198598566,58.00553385773387
Dominican Republic,DOM,2000,2022,8584196.0,18.9370174407959,31.224796295166016,6563.802643718759,17023.14045252964,1.5079231537522164e-09,6.945330580113068e-10,0.2228831462918041,0.2351575183819135,0.6488761439221485,1.5934875523443655,-0.5394108404774629,0.05507088487542924,12.59365467315429,100.0,100.0,34.989873589224395,57.525564799252386
Canada,CAN,2000,2022,30891800.0,566.6798706054688,547.6576538085938,36827.93747078512,45369.35869140669,3.2060732386566614e-09,2.2509117385632104e-09,0.1553616179846516,0.138139677995955,-0.03356783571039981,0.23192776482248884,-0.29792254542933083,-0.11085067349387395,69.46398630919998,30.175251347498985,71.13179220419013,58.69295335626771,57.28260550953969
South Korea,KOR,2000,2022,46766660.0,439.9806823730469,606.8772583007812,23227.266824528415,41279.54475944245,2.0812649106629134e-09,1.6933194265154275e-09,0.1946129712760914,0.1676655869916119,0.37932705369602476,0.7772019872717224,-0.1863988972090629,-0.1384665374963628,35.0560788586646,79.7456352065202,55.19984245843757,62.638076785194684,57.15272014721562
